Index,category index,brand,link
130,20,ZEBRONICS,https://www.amazon.in/s?bbn=1375344031&rh=n%3A1375344031%2Cp_89%3AZEBRONICS&dc&qid=1687369728&rnid=3837712031&ref=lp_1375344031_nr_p_89_4
131,20,SWAPKART,https://www.amazon.in/s?bbn=1375344031&rh=n%3A1375344031%2Cp_89%3ASWAPKART&dc&qid=1687369728&rnid=3837712031&ref=lp_1375344031_nr_p_89_5
132,20,Ant Esports,https://www.amazon.in/s?bbn=1375344031&rh=n%3A1375344031%2Cp_89%3AAnt+Esports&dc&qid=1687369728&rnid=3837712031&ref=lp_1375344031_nr_p_89_6
133,21,OnePlus,https://www.amazon.in/s?bbn=976419031&rh=n%3A976419031%2Cp_89%3AOnePlus&dc&qid=1687369731&rnid=3837712031&ref=lp_976420031_nr_p_89_0
134,21,Redmi,https://www.amazon.in/s?bbn=976419031&rh=n%3A976419031%2Cp_89%3ARedmi&dc&qid=1687369731&rnid=3837712031&ref=lp_976420031_nr_p_89_1
135,21,realme,https://www.amazon.in/s?bbn=976419031&rh=n%3A976419031%2Cp_89%3Arealme&dc&qid=1687369731&rnid=3837712031&ref=lp_976420031_nr_p_89_2
136,21,boAt,https://www.amazon.in/s?bbn=976419031&rh=n%3A976419031%2Cp_89%3AboAt&dc&qid=1687369731&rnid=3837712031&ref=lp_976420031_nr_p_89_3
137,21,iQOO,https://www.amazon.in/s?bbn=976419031&rh=n%3A976419031%2Cp_89%3AiQOO&dc&qid=1687369731&rnid=3837712031&ref=lp_976420031_nr_p_89_4
138,21,Samsung,https://www.amazon.in/s?bbn=976419031&rh=n%3A976419031%2Cp_89%3ASamsung&dc&qid=1687369731&rnid=3837712031&ref=lp_976420031_nr_p_89_5
139,21,LS LAPSTER Quality Assured,https://www.amazon.in/s?bbn=976419031&rh=n%3A976419031%2Cp_89%3ALS+LAPSTER+Quality+Assured&dc&qid=1687369731&rnid=3837712031&ref=lp_976420031_nr_p_89_6
140,22,Samsung,https://www.amazon.in/s?bbn=1389396031&rh=n%3A1389396031%2Cp_89%3ASamsung&dc&qid=1687369745&rnid=3837712031&ref=lp_1389396031_nr_p_89_0
141,22,Redmi,https://www.amazon.in/s?bbn=1389396031&rh=n%3A1389396031%2Cp_89%3ARedmi&dc&qid=1687369745&rnid=3837712031&ref=lp_1389396031_nr_p_89_1
142,22,LG,https://www.amazon.in/s?bbn=1389396031&rh=n%3A1389396031%2Cp_89%3ALG&dc&qid=1687369745&rnid=3837712031&ref=lp_1389396031_nr_p_89_2
